식사시간,지역,세부지역,성별,연령대,결혼유무,자녀유무,거주유무,결제업종,총결제금액,결제개수,기온,강수량,적설량,전운량,날씨_구름,날씨_비,날씨_눈
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.07157748436414177,0.07964601769911504,0.34730538922155685,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,1.0,중식,0.32870048644892286,0.22123893805309736,0.34730538922155685,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.07157748436414177,0.07964601769911504,0.34131736526946105,0.0,1.0,0.6000000000000001,0,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,1.0,중식,0.32870048644892286,0.22123893805309736,0.34131736526946105,0.0,1.0,0.6000000000000001,0,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.07157748436414177,0.07964601769911504,0.27544910179640714,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,1.0,중식,0.32870048644892286,0.22123893805309736,0.27544910179640714,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.07157748436414177,0.07964601769911504,0.22155688622754488,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,1.0,중식,0.32870048644892286,0.22123893805309736,0.22155688622754488,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,중식,0.07157748436414177,0.07964601769911504,0.19760479041916165,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,1.0,중식,0.32870048644892286,0.22123893805309736,0.19760479041916165,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.4058373870743572,0.5663716814159292,0.49700598802395207,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.4058373870743572,0.5663716814159292,0.5329341317365269,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.4058373870743572,0.5663716814159292,0.49700598802395207,0.0,1.0,0.5,1,0,0
